date;jp_exchange;jp_et;jp_et_dif_h1;jp_et_dif_h12;jp_et_ecm_h1;jp_et_ecm_h12;jp_gap;jp_gdp;jp_gdp_log;jp_inflation;jp_inflation_log;jp_interest;jp_m1;jp_m1_log;us_exchange;us_et;us_et_dif_h1;us_et_dif_h12;us_et_ecm_h1;us_et_ecm_h12;us_gap;us_gdp;us_gdp_log;us_inflation;us_inflation_log;us_interest;us_m1;us_m1_log;jp_m_hat;jp_y_hat;jp_r_hat;jp_i_hat;jp_ygap_hat;jp_m_hat_dif_h1;jp_y_hat_dif_h1;jp_r_hat_dif_h1;jp_i_hat_dif_h1;jp_ygap_hat_dif_h1;jp_m_hat_dif_h12;jp_y_hat_dif_h12;jp_r_hat_dif_h12;jp_i_hat_dif_h12;jp_ygap_hat_dif_h12;jp_coint_taylor;jp_coint_monetary_standard;jp_coint_monetary_sticky;jp_coint_monetary_sticky_uip;jp_coint_monetary_flexible_uip
2001-08-01;118,95;4,77870323674897;2,93809235490361e-03;-0,008442430895282627;2,93809235490361e-03;-0,008442430895282627;0,995973829200182;42336067098579,3;31,3766604887658;96,7647668393782;4,57228294909408;0,01000;311516213981870;33,3724725041076;1;0;0;0;0;0;1,013701425571639;896307098236,241;27,5215489347654;81,4012946245337;4,39939117736032;3,65;1,14450e+12;27,7659889763390;5,60648352776857;3,85511155400039;0,172891771733759469;-3,64000000000000012;-1,77275963714574e-02;-1,60087128023143e-02;-7,65362739669229e-02;4,06918160672642e-03;1,17140000000000e-01;0,013874409355096762;4,56154223677672e-02;-0,047933701030622444;-0,033917218658298331;2,70477999999999996;1,41426680670376e-02;-0,48216990795308934;-0,28627597267042593;0,42403540499328968;1,245514791713379976;-0,4142751999901202
2001-09-01;119,30;4,78164132910387;2,09032163044682e-02;0,018684371658262755;2,09032163044682e-02;0,018684371658262755;0,988073087063565;43832667063737,8;31,4114004786959;96,5682901554404;4,57025042806916;0,00505;313048839757558;33,3773803318602;1;0;0;0;0;0;1,020172322209324;912311701256,595;27,5392475463217;81,7681736988978;4,40388809331394;3,07;1,19360e+12;27,8079950663959;5,56938526546428;3,87215293237423;0,166362334755212338;-3,06494999999999962;-3,20992351457586e-02;-3,70982623042870e-02;1,70413783738361e-02;-6,52943697854713e-03;5,75050000000001e-01;-0,014371638774301254;1,82752761508880e-02;-0,040090135944755190;-0,034243265804857259;3,20554999999999968;3,86255849756737e-02;0,12852020109401038;-0,23987160219395237;-0,03987838720622054;0,655761566987830724;-0,3648738637408650
2001-10-01;121,82;4,80254454540834;1,73337130728610e-02;0,005158237989838277;1,73337130728610e-02;0,005158237989838277;0,990542447647437;45860545281415,2;31,4566262834188;96,5682901554404;4,57025042806916;0,00314;314807665951495;33,3829829839907;1;0;0;0;0;0;1,003906479394608;921611358102,484;27,5493894511420;81,4930143931247;4,40051730360546;2,49;1,15920e+12;27,7787512279529;5,60423175603783;3,90723683227674;0,169733124463701479;-2,48686000000000007;-1,33640317471709e-02;3,48464905735497e-02;3,50838999025100e-02;3,37078970848914e-03;5,78090000000000e-01;0,018735203398587696;4,94765970143014e-02;-0,041651173075287318;-0,029146850128898727;3,77551999999999932;5,23429180921056e-02;-0,39566848081934247;-0,25204897272802973;-0,49007844899937231;0,199004076396965823;-0,3815457307022456
2001-11-01;123,95;4,81987825848120;6,14073635872074e-02;-0,013401215788072740;6,14073635872074e-02;-0,013401215788072740;0,981976741626532;46380759119799,0;31,4679058150174;96,0770984455959;4,56515097795681;0,00243;317536099865815;33,3916126281627;1;0;0;0;0;0;1,007461824641223;906313647653,166;27,5326512725423;81,3554347402382;4,39882763832033;2,09;1,16900e+12;27,7871697984185;5,60444282974419;3,93525454247510;0,166323339636479162;-2,08756999999999993;-2,54850830146911e-02;2,11073706360310e-04;2,80177101983554e-02;-3,40978482722232e-03;3,99290000000000e-01;-0,012121051267520166;5,15207120710492e-02;-0,047473357146195383;-0,028950250814385292;4,17492999999999981;4,26523166310054e-02;0,10901971793591554;-0,22522676676466208;-1,01820595728790120;-0,414588393753945739;-0,3602397114806914
2001-12-01;131,80;4,88128562206841;8,31134365079311e-03;-0,094627560034938440;8,31134365079311e-03;-0,094627560034938440;0,976221339493311;45467395598785,8;31,4480166047726;95,9788601036270;4,56412795996477;0,00184;337339437470630;33,4521107722128;1;0;0;0;0;0;1,003422653109469;883789994244,421;27,5074853082896;81,0344155501696;4,39487394777050;1,82;1,20850e+12;27,8204010370899;5,63170973512285;3,94053129648309;0,169254012194272718;-1,81816000000000000;-2,72013136161589e-02;2,72669053786601e-02;5,27675400799055e-03;2,93067255779356e-03;2,69410000000000e-01;-0,001716230601467750;4,39443635330434e-02;-0,057323517807819968;-0,027605759691050835;4,34041000000000032;2,43045073355804e-02;0,25429976142933619;-0,12313226606570311;-0,86441729258212496;-0,359393614174971898;-0,2742220196697615
2002-01-01;132,90;4,88959696571920;7,49628697792737e-03;-0,110893728970233418;7,49628697792737e-03;-0,110893728970233418;0,977524070852073;42904425947055,5;31,3899961054700;95,7823834196891;4,56207877891984;0,00111;340796008296607;33,4623051980704;1;0;0;0;0;0;1,005282823413607;864046278623,518;27,4848921675377;81,2178550873516;4,39713511323364;1,73;1,19180e+12;27,8064858852593;5,65581931281113;3,90510393793233;0,164943665686200447;-1,72889000000000004;-2,77587525615345e-02;2,41095776882787e-02;-3,54273585507556e-02;-4,31034650807227e-03;8,92700000000000e-02;-0,000557438945375632;6,67680313736057e-02;-0,067242362267094791;-0,025614166121845194;4,00216000000000083;-6,08976953307516e-03;0,31171398624655972;-0,11958292109520297;-0,36391877523395982;0,184773844250886693;-0,2638510168457460
2002-02-01;133,90;4,89709325269713;-5,24149459083834e-03;-0,128529519800600234;-5,24149459083834e-03;-0,128529519800600234;0,969075830922460;42348896947895,4;31,3769634905928;95,2911917098446;4,55693737941942;0,00100;343924700250685;33,4714438547209;1;0;0;0;0;0;1,002894824580152;874388196907,083;27,4967902752125;81,5388742774202;4,40107989152465;1,74;1,17830e+12;27,7950938376657;5,67635001705522;3,88017321538038;0,155857487894764724;-1,73900000000000010;-3,38189936576919e-02;2,05307042440879e-02;-2,49307225519537e-02;-9,08617779143572e-03;-1,01100000000001e-02;-0,006060241096157437;9,72868157609490e-02;-0,060985529145060724;-0,027672620933934411;3,50258000000000003;-2,16661908504231e-02;0,55399950563571276;-0,11788488362885029;-0,17974730754436913;0,379923005060319563;-0,2588714759947504
2002-03-01;133,20;4,89185175810629;-3,98214941866719e-02;-0,103110795923810450;-3,98214941866719e-02;-0,103110795923810450;0,971818239800435;43240577105049,1;31,3978004551657;95,4876683937824;4,55899711238243;0,00205;370224657881093;33,5451311207679;1;0;0;0;0;0;0,997543868044809;892684524469,258;27,5174990793360;81,9974731203753;4,40668843118426;1,73;1,19680e+12;27,8106724441666;5,73445867660131;3,88030137582978;0,152308681198165985;-1,72794999999999987;-2,57256282443745e-02;5,81086595460931e-02;1,28160449406778e-04;-3,54880669659874e-03;1,10500000000002e-02;0,008093365413317399;1,42596398197426e-01;-0,048964762448676424;-0,026918241829148926;3,47537999999999947;5,48898083112803e-03;0,29260093506859841;-0,20365428486208817;-0,30326182100266574;0,373378306932423965;-0,3411566810757779
2002-04-01;128,00;4,85203026391962;-2,85280836145381e-02;-0,067877422403085141;-2,85280836145381e-02;-0,067877422403085141;0,977210380378255;43128311031442,6;31,3952007658735;95,7823834196891;4,56207877891984;0,00148;412071735257433;33,6522185648244;1;0;0;0;0;0;0,990361714293478;888483592032,688;27,5127820173280;82,4560719633304;4,41226569048237;1,75;1,19690e+12;27,8107559968257;5,84146256799864;3,88241874854548;0,149813088437467989;-1,74852000000000007;-1,31513339152234e-02;1,07003891397326e-01;2,11737271569845e-03;-2,49559276069800e-03;-2,05700000000002e-02;0,012574294329151137;2,21511304898975e-01;-0,053968798041097443;-0,027479404476568270;3,03148000000000017;1,08657907821212e-02;-0,15792785483036906;-0,43071858498251703;-0,52827284106810080;0,455406492495883886;-0,5531008843335538
2002-05-01;124,40;4,82350218030508;-4,06043065332602e-02;-0,049855844345086275;-4,06043065332602e-02;-0,049855844345086275;0,983991251033113;43402675684164,3;31,4015422068434;96,0770984455959;4,56515097795681;0,00138;412822591530528;33,6540390561433;1;0;0;0;0;0;0,983087968596581;894743178429,432;27,5198025625673;82,4560719633304;4,41226569048237;1,75;1,18600e+12;27,8016074165041;5,85243163963921;3,88173964427605;0,152885287474438414;-1,74862000000000006;9,03282436532260e-04;1,09690716405701e-02;-6,79104269430297e-04;3,07219903697042e-03;-9,99999999999890e-05;0,014054616351755644;2,13370860939786e-01;-0,026052827686534386;-0,020908756275578533;2,44280999999999970;2,76941199471212e-02;-0,66601221609888150;-0,50895564225036871;-0,50656316616325026;0,585176029977475753;-0,6216987072748424
2002-06-01;119,45;4,78289787377182;3,34308710857467e-03;0,003343087108574672;3,34308710857467e-03;0,003343087108574672;0,972061023511742;43334413284393,1;31,3999681993530;95,9788601036270;4,56412795996477;0,00140;411172272013622;33,6500333959224;1;0;0;0;0;0;0,994127326305296;938615229537,321;27,5676714659766;82,5019318476259;4,41282170940134;1,75;1,19470e+12;27,8089162237696;5,84111717215280;3,83229673337638;0,151306250563436606;-1,74859999999999993;-2,20663027935541e-02;-1,13144674864110e-02;-4,94429108996712e-02;-1,57903691100181e-03;2,00000000001310e-05;-0,022969585230086409;2,17765545802244e-01;-0,043340861266816688;-0,017756835673871763;2,20378000000000007;2,21172866795230e-02;0,07840361030690836;-0,56505995330166170;0,18410910794673752;1,398359508891945602;-0,6546217553703608
